wl:69852.74 use:T print:F label:Ar2@69800 # no wl:69800.00     in nist
wl:89914.30 use:T print:F label:Ar3@90000 # no wl:90000.00      in nist
wl:218312.00  use:T print:F label:Ar3@218300  # no wl:218300.00      in nist
wl:79019.00 use:T print:F label:Ar5@80000 # no wl:80000.00    in nist  
wl:131021.00  use:T print:F label:Ar5@131000  # no wl: 131000.00    in nist  
wl:45292.00 use:T print:F label:Ar6@45300 # no wl:45300.00      in nist
wl:5533.27  use:T print:F label:Ar10@5534 
wl:25953.50 use:T print:F label:Ar11@25950  # no nist, taken from cloudy output
wl:32070.00 use:T print:F label:Ca4@32100 # no 32100.00   in nist   
wl:41585.00 use:T print:F label:Ca5@41570 
wl:114824.00  use:T print:F label:Ca5@114800  
wl:23211.00 use:T print:F label:Ca8@23210 
wl:23118.00 use:T print:F label:Sc5@23100 # no wl:23100.00    in nist
wl:17151.00 use:T print:F label:Ti6@17150 
wl:13038.00 use:T print:F label:V7@13040  
wl:10106.00 use:T print:F label:Cr8@10110 
wl:7968.50  use:T print:F label:Mn9@7968  
wl:5167.90  use:T print:F label:Co11@5168 
wl:4231.00  use:T print:F label:Ni12@4231 
wl:6181.98  use:T print:F label:Fe2@6200  # no wl:6200.00 in nist
wl:4298.16  use:T print:F label:Fe2@4300  # no wl:4300.00   in nist : 4296.57, 4303.17   
wl:2400.34  use:T print:F label:Fe2@2400  
wl:1080.10  use:T print:F label:Fe2@1080  # no wl:1080.00 in nist  1081.88,  1079.85
wl:1500.34  use:T print:F label:Fe2@1500  
wl:11499.76 use:T print:F label:Fe2@11500 # no wl:11500.00    in nist  
wl:2500.92  use:T print:F label:Fe2@2500  
wl:2300.62  use:T print:F label:Fe2@2300  
wl:8898.03  use:T print:F label:Fe2@8900  # no wl:8900.00   in nist  8897.80,  8904.79
wl:1216.52  use:T print:F label:Fe2@1216  
